Release 14.7 - par P.20131013 (lin64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Wed May 22 04:31:47 2024


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       reg1_map.ncd
OUTPUT FILE:      reg1_pad.txt
PART TYPE:        xc7vx330t
SPEED GRADE:      -2
PACKAGE:          ffg1157

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name    |Pin Usage|Pin Name                    |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|C10       |data_in_2<25>  |IOB      |IO_L10N_T1_39               |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C11       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|C12       |data_in_2<18>  |IOB      |IO_L6P_T0_39                |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C13       |data_out_2<2>  |IOB      |IO_L19P_T3_38               |OUTPUT   |LVCMOS18*  |38            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|C14       |               |IOB18S   |IO_L17N_T2_38               |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|C15       |               |IOB18M   |IO_L23P_T3_38               |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|C16       |               |         |VCCO_38                     |         |           |38            |          |         |           |         |1.80     |          |           |                |
|C17       |               |IOB18S   |IO_L18N_T2_38               |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|C18       |               |IOB18M   |IO_L18P_T2_38               |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|C19       |data_out_2<17> |IOB      |IO_L10P_T1_37               |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|C20       |data_out_2<20> |IOB      |IO_L11N_T1_SRCC_37          |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|C21       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|C22       |data_out_2<39> |IOB      |IO_L21P_T3_DQS_37           |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|C23       |data_out_2<41> |IOB      |IO_L22P_T3_37               |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|C24       |data_out_2<46> |IOB      |IO_L24N_T3_37               |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|C25       |data_in_2<73>  |IOB      |IO_L7P_T1_19                |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C26       |               |         |VCCO_19                     |         |           |19            |          |         |           |         |1.80     |          |           |                |
|C27       |data_in_2<83>  |IOB      |IO_L12P_T1_MRCC_19          |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C28       |data_in_2<87>  |IOB      |IO_L14P_T2_SRCC_19          |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C29       |data_in_2<84>  |IOB      |IO_L14N_T2_SRCC_19          |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C30       |data_in_2<85>  |IOB      |IO_L13P_T2_MRCC_19          |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C31       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|C32       |data_in_2<68>  |IOB      |IO_L6N_T0_VREF_19           |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C33       |data_in_2<67>  |IOB      |IO_L4P_T0_19                |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C34       |data_in_2<12>  |IOB      |IO_L2N_T0_19                |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D1        |               |OPAD     |MGTHTXN0_118                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|D2        |               |OPAD     |MGTHTXP0_118                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|D3        |               |         |MGTAVTT_G11                 |         |           |              |          |         |           |         |         |          |           |                |
|D4        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|D5        |               |IPAD     |MGTHRXN2_118                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|D6        |               |IPAD     |MGTHRXP2_118                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|D7        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|D8        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|D9        |data_in_2<16>  |IOB      |IO_L5P_T0_39                |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D10       |data_in_2<26>  |IOB      |IO_L10P_T1_39               |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D11       |data_in_2<28>  |IOB      |IO_L11N_T1_SRCC_39          |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D12       |data_in_2<21>  |IOB      |IO_L8N_T1_39                |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D13       |               |         |VCCO_38                     |         |           |38            |          |         |           |         |1.80     |          |           |                |
|D14       |               |IOB18S   |IO_L15N_T2_DQS_38           |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|D15       |data_out_2<10> |IOB      |IO_L17P_T2_38               |OUTPUT   |LVCMOS18*  |38            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|D16       |               |IOB18S   |IO_L13N_T2_MRCC_38          |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|D17       |               |IOB18S   |IO_L14N_T2_SRCC_38          |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|D18       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|D19       |data_out_2<14> |IOB      |IO_L8N_T1_37                |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|D20       |data_out_2<19> |IOB      |IO_L11P_T1_SRCC_37          |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|D21       |data_out_2<22> |IOB      |IO_L12N_T1_MRCC_37          |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|D22       |data_out_2<36> |IOB      |IO_L19N_T3_VREF_37          |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|D23       |               |         |VCCO_37                     |         |           |37            |          |         |           |         |1.80     |          |           |                |
|D24       |data_out_2<45> |IOB      |IO_L24P_T3_37               |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|D25       |data_in_2<102> |IOB      |IO_L23N_T3_19               |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D26       |data_in_2<74>  |IOB      |IO_L9N_T1_DQS_19            |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D27       |data_in_2<78>  |IOB      |IO_L11N_T1_SRCC_19          |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D28       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|D29       |data_in_2<91>  |IOB      |IO_L16P_T2_19               |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D30       |data_in_2<88>  |IOB      |IO_L16N_T2_19               |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D31       |data_in_2<66>  |IOB      |IO_L5N_T0_19                |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D32       |data_in_2<71>  |IOB      |IO_L6P_T0_19                |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D33       |               |         |VCCO_19                     |         |           |19            |          |         |           |         |1.80     |          |           |                |
|D34       |data_in_2<63>  |IOB      |IO_L2P_T0_19                |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E1        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|E2        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|E3        |               |IPAD     |MGTHRXN1_118                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|E4        |               |IPAD     |MGTHRXP1_118                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|E5        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|E6        |               |         |MGTAVCC_G11                 |         |           |              |          |         |           |         |         |          |           |                |
|E7        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|E8        |data_in_2<19>  |IOB      |IO_L7N_T1_39                |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E9        |data_in_2<20>  |IOB      |IO_L7P_T1_39                |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E10       |               |         |VCCO_39                     |         |           |39            |          |         |           |         |1.80     |          |           |                |
|E11       |clk            |IOB      |IO_L11P_T1_SRCC_39          |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E12       |data_in_2<22>  |IOB      |IO_L8P_T1_39                |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E13       |               |IOB18S   |IO_L7N_T1_38                |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|E14       |               |IOB18M   |IO_L15P_T2_DQS_38           |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|E15       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|E16       |               |IOB18M   |IO_L13P_T2_MRCC_38          |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|E17       |               |IOB18M   |IO_L14P_T2_SRCC_38          |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|E18       |               |IOB18S   |IO_L16N_T2_38               |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|E19       |data_out_2<13> |IOB      |IO_L8P_T1_37                |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|E20       |               |         |VCCO_37                     |         |           |37            |          |         |           |         |1.80     |          |           |                |
|E21       |data_out_2<21> |IOB      |IO_L12P_T1_MRCC_37          |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|E22       |data_out_2<35> |IOB      |IO_L19P_T3_37               |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|E23       |data_out_2<44> |IOB      |IO_L23N_T3_37               |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|E24       |data_in_2<105> |IOB      |IO_L23P_T3_19               |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E25       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|E26       |data_in_2<77>  |IOB      |IO_L9P_T1_DQS_19            |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E27       |data_in_2<81>  |IOB      |IO_L11P_T1_SRCC_19          |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E28       |data_in_2<38>  |IOB      |IO_L18P_T2_19               |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E29       |data_in_2<92>  |IOB      |IO_L18N_T2_19               |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E30       |               |         |VCCO_19                     |         |           |19            |          |         |           |         |1.80     |          |           |                |
|E31       |data_in_2<69>  |IOB      |IO_L5P_T0_19                |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E32       |data_in_2<125> |IOB      |IO_L8P_T1_18                |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E33       |data_in_2<122> |IOB      |IO_L8N_T1_18                |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E34       |data_in_2<126> |IOB      |IO_L10N_T1_18               |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F1        |               |OPAD     |MGTHTXN3_117                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|F2        |               |OPAD     |MGTHTXP3_117                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|F3        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|F4        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|F5        |               |IPAD     |MGTREFCLK0N_118             |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|F6        |               |IPAD     |MGTREFCLK0P_118             |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|F7        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|F8        |data_in_2<23>  |IOB      |IO_L9N_T1_DQS_39            |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F9        |data_in_2<24>  |IOB      |IO_L9P_T1_DQS_39            |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F10       |data_in_2<29>  |IOB      |IO_L12N_T1_MRCC_39          |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F11       |data_in_2<27>  |IOB      |IO_L12P_T1_MRCC_39          |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F12       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|F13       |               |IOB18S   |IO_L10N_T1_38               |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|F14       |               |IOB18M   |IO_L7P_T1_38                |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|F15       |               |IOB18S   |IO_L12N_T1_MRCC_38          |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|F16       |               |IOB18S   |IO_L11N_T1_SRCC_38          |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|F17       |               |         |VCCO_38                     |         |           |38            |          |         |           |         |1.80     |          |           |                |
|F18       |data_out_2<6>  |IOB      |IO_L16P_T2_38               |OUTPUT   |LVCMOS18*  |38            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|F19       |data_out_2<27> |IOB      |IO_L15P_T2_DQS_37           |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|F20       |data_out_2<28> |IOB      |IO_L15N_T2_DQS_37           |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|F21       |data_out_2<24> |IOB      |IO_L13N_T2_MRCC_37          |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|F22       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|F23       |data_out_2<43> |IOB      |IO_L23P_T3_37               |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|F24       |               |IOB18    |IO_0_VRN_19                 |UNUSED   |           |19            |          |         |           |         |         |          |           |                |
|F25       |data_in_2<98>  |IOB      |IO_L21N_T3_DQS_19           |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F26       |data_in_2<100> |IOB      |IO_L22N_T3_19               |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F27       |               |         |VCCO_19                     |         |           |19            |          |         |           |         |1.80     |          |           |                |
|F28       |data_in_2<104> |IOB      |IO_L24N_T3_19               |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F29       |data_out_2<105>|IOB      |IO_L17N_T2_18               |OUTPUT   |LVCMOS18*  |18            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|F30       |data_in_2<127> |IOB      |IO_L9P_T1_DQS_18            |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F31       |data_in_2<124> |IOB      |IO_L9N_T1_DQS_18            |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F32       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|F33       |data_in_2<129> |IOB      |IO_L10P_T1_18               |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F34       |data_in_2<120> |IOB      |IO_L7N_T1_18                |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G1        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|G2        |               |         |MGTAVTT_G11                 |         |           |              |          |         |           |         |         |          |           |                |
|G3        |               |IPAD     |MGTHRXN0_118                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|G4        |               |IPAD     |MGTHRXP0_118                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|G5        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|G6        |               |         |MGTAVCC_G11                 |         |           |              |          |         |           |         |         |          |           |                |
|G7        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|G8        |data_in_2<41>  |IOB      |IO_L18N_T2_39               |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G9        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|G10       |data_in_2<32>  |IOB      |IO_L13N_T2_MRCC_39          |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G11       |               |IOB18M   |IO_L13P_T2_MRCC_39          |UNUSED   |           |39            |          |         |           |         |         |          |           |                |
|G12       |data_in_2<37>  |IOB      |IO_L16N_T2_39               |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G13       |               |IOB18M   |IO_L10P_T1_38               |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|G14       |               |         |VCCO_38                     |         |           |38            |          |         |           |         |1.80     |          |           |                |
|G15       |               |IOB18M   |IO_L12P_T1_MRCC_38          |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|G16       |               |IOB18M   |IO_L11P_T1_SRCC_38          |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|G17       |               |IOB18S   |IO_L9N_T1_DQS_38            |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|G18       |data_out_2<11> |IOB      |IO_25_VRP_38                |OUTPUT   |LVCMOS18*  |38            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|G19       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|G20       |               |IOB18S   |IO_L6N_T0_VREF_37           |UNUSED   |           |37            |          |         |           |         |         |          |           |                |
|G21       |data_out_2<23> |IOB      |IO_L13P_T2_MRCC_37          |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|G22       |data_out_2<26> |IOB      |IO_L14N_T2_SRCC_37          |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|G23       |data_out_2<30> |IOB      |IO_L16N_T2_37               |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|G24       |               |         |VCCO_19                     |         |           |19            |          |         |           |         |1.80     |          |           |                |
|G25       |data_in_2<101> |IOB      |IO_L21P_T3_DQS_19           |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G26       |data_in_2<103> |IOB      |IO_L22P_T3_19               |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G27       |data_in_2<107> |IOB      |IO_L24P_T3_19               |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G28       |data_out_2<111>|IOB      |IO_L17P_T2_18               |OUTPUT   |LVCMOS18*  |18            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|G29       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|G30       |data_in_2<133> |IOB      |IO_L12P_T1_MRCC_18          |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G31       |data_in_2<132> |IOB      |IO_L12N_T1_MRCC_18          |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G32       |data_in_2<128> |IOB      |IO_L11N_T1_SRCC_18          |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G33       |data_in_2<123> |IOB      |IO_L7P_T1_18                |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|G34       |               |         |VCCO_18                     |         |           |18            |          |         |           |         |1.80     |          |           |                |
|H1        |               |OPAD     |MGTHTXN2_117                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|H2        |               |OPAD     |MGTHTXP2_117                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|H3        |               |         |MGTAVTT_G11                 |         |           |              |          |         |           |         |         |          |           |                |
|H4        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|H5        |               |IPAD     |MGTREFCLK1N_118             |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|H6        |               |IPAD     |MGTREFCLK1P_118             |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|H7        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|H8        |data_in_2<34>  |IOB      |IO_L18P_T2_39               |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H9        |data_in_2<33>  |IOB      |IO_L14N_T2_SRCC_39          |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H10       |data_in_2<30>  |IOB      |IO_L14P_T2_SRCC_39          |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H11       |               |         |VCCO_39                     |         |           |39            |          |         |           |         |1.80     |          |           |                |
|H12       |data_in_2<31>  |IOB      |IO_L16P_T2_39               |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H13       |               |IOB18    |IO_0_VRN_39                 |UNUSED   |           |39            |          |         |           |         |         |          |           |                |
|H14       |               |IOB18S   |IO_L8N_T1_38                |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|H15       |data_in_2<52>  |IOB      |IO_L1N_T0_38                |INPUT    |LVCMOS18*  |38            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H16       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|H17       |               |IOB18M   |IO_L9P_T1_DQS_38            |UNUSED   |           |38            |          |         |           |         |         |          |           |                |
|H18       |               |IOB18    |IO_0_VRN_37                 |UNUSED   |           |37            |          |         |           |         |         |          |           |                |
|H19       |               |IOB18M   |IO_L6P_T0_37                |UNUSED   |           |37            |          |         |           |         |         |          |           |                |
|H20       |reg_datain_flag|IOB      |IO_L3N_T0_DQS_37            |INPUT    |LVCMOS18*  |37            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H21       |               |         |VCCO_37                     |         |           |37            |          |         |           |         |1.80     |          |           |                |
|H22       |data_out_2<25> |IOB      |IO_L14P_T2_SRCC_37          |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|H23       |data_out_2<29> |IOB      |IO_L16P_T2_37               |OUTPUT   |LVCMOS18*  |37            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|H24       |data_in_2<94>  |IOB      |IO_L19N_T3_VREF_19          |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H25       |data_in_2<96>  |IOB      |IO_L20N_T3_19               |INPUT    |LVCMOS18*  |19            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H26       |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|H27       |data_in_2<106> |IOB      |IO_0_VRN_18                 |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H28       |data_in_2<134> |IOB      |IO_L15N_T2_DQS_18           |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H29       |data_in_2<130> |IOB      |IO_L13P_T2_MRCC_18          |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H30       |data_out_2<101>|IOB      |IO_L13N_T2_MRCC_18          |OUTPUT   |LVCMOS18*  |18            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|H31       |               |         |VCCO_18                     |         |           |18            |          |         |           |         |1.80     |          |           |                |
|H32       |data_in_2<131> |IOB      |IO_L11P_T1_SRCC_18          |INPUT    |LVCMOS18*  |18            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|H33       |data_out_2<106>|IOB      |IO_L21P_T3_DQS_18           |OUTPUT   |LVCMOS18*  |18            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|H34       |               |IOB18S   |IO_L21N_T3_DQS_18           |UNUSED   |           |18            |          |         |           |         |         |          |           |                |
|J1        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|J2        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|J3        |               |IPAD     |MGTHRXN3_117                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|J4        |               |IPAD     |MGTHRXP3_117                |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|J5        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|J6        |               |         |MGTAVCC_G11                 |         |           |              |          |         |           |         |         |          |           |                |
|J7        |               |         |GND                         |         |           |              |          |         |           |         |         |          |           |                |
|J8        |               |         |VCCO_39                     |         |           |39            |          |         |           |         |1.80     |          |           |                |
|J9        |data_in_2<35>  |IOB      |IO_L15N_T2_DQS_39           |INPUT    |LVCMOS18*  |39            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
